房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
5栋B座2810,72.83,118044.71,51.53,166838.66,8597196.00,在售,商务公寓
5栋B座2809,99.03,111597.65,70.06,157743.58,11051515.00,在售,商务公寓
5栋B座2808,82.20,117597.65,58.16,166205.76,9666527.00,在售,商务公寓
5栋B座2807,82.20,117362.36,58.16,165873.21,9647186.00,在售,商务公寓
5栋B座2806,96.35,111127.06,68.17,157064.57,10707092.00,在售,商务公寓
5栋B座2805,72.83,121371.77,51.53,171540.97,8839506.00,在售,商务公寓
5栋B座2804,99.03,126185.88,70.06,178364.09,12496188.00,在售,商务公寓
5栋B座2803,82.20,126950.60,58.16,179424.67,10435339.00,在售,商务公寓
5栋B座2802,82.20,126656.47,58.16,179008.98,10411162.00,在售,商务公寓
5栋B座2801,96.35,122362.36,68.17,172944.30,11789613.00,在售,商务公寓
5栋B座2710,72.83,114397.65,51.53,161684.09,8331581.00,在售,商务公寓
5栋B座2709,99.03,102068.24,70.06,144273.74,10107818.00,在售,商务公寓
5栋B座2708,82.20,108068.24,58.16,152737.43,8883209.00,在售,商务公寓
5栋B座2707,82.20,107832.94,58.16,152404.88,8863868.00,在售,商务公寓
5栋B座2706,96.35,101597.64,68.17,143595.91,9788933.00,在售,商务公寓
5栋B座2705,72.83,117724.72,51.53,166386.40,8573891.00,在售,商务公寓
5栋B座2704,99.03,123480.01,70.06,174539.32,12228225.00,在售,商务公寓
5栋B座2703,82.20,124244.71,58.16,175600.33,10212915.00,在售,商务公寓
5栋B座2702,82.20,123950.60,58.16,175184.65,10188739.00,在售,商务公寓
5栋B座2701,96.35,119656.47,68.17,169119.86,11528901.00,在售,商务公寓
5栋B座2610,72.83,114280.01,51.53,161517.81,8323013.00,在售,商务公寓
5栋B座2609,99.03,101950.59,70.06,144107.44,10096167.00,在售,商务公寓
5栋B座2608,82.20,107950.60,58.16,152571.17,8873539.00,在售,商务公寓
5栋B座2607,82.20,107715.30,58.16,152238.62,8854198.00,在售,商务公寓
5栋B座2606,96.35,101480.00,68.17,143429.63,9777598.00,在售,商务公寓
5栋B座2605,72.83,117607.06,51.53,166220.10,8565322.00,在售,商务公寓
5栋B座2604,99.03,121950.59,70.06,172377.49,12076767.00,在售,商务公寓
5栋B座2603,82.20,122715.30,58.16,173438.76,10087198.00,在售,商务公寓
5栋B座2602,82.20,122421.18,58.16,173023.06,10063021.00,在售,商务公寓
5栋B座2601,96.35,118127.06,68.17,166958.22,11381542.00,在售,商务公寓
5栋B座2510,72.83,114162.36,51.53,161351.54,8314445.00,在售,商务公寓
5栋B座2509,99.03,101832.94,70.06,143941.14,10084516.00,在售,商务公寓
5栋B座2508,82.20,107832.94,58.16,152404.88,8863868.00,在售,商务公寓
5栋B座2507,82.20,107597.65,58.16,152072.33,8844527.00,在售,商务公寓
5栋B座2506,96.35,101362.35,68.17,143263.34,9766262.00,在售,商务公寓
5栋B座2505,72.83,117489.41,51.53,166053.83,8556754.00,在售,商务公寓
5栋B座2504,99.03,120421.18,70.06,170215.66,11925309.00,在售,商务公寓
5栋B座2503,82.20,121185.89,58.16,171277.17,9961480.00,在售,商务公寓
5栋B座2502,82.20,120891.78,58.16,170861.49,9937304.00,在售,商务公寓
5栋B座2501,96.35,116597.65,68.17,164796.60,11234184.00,在售,商务公寓
5栋B座2410,72.83,110515.30,51.53,156196.95,8048829.00,在售,商务公寓
5栋B座2409,99.03,101715.30,70.06,143774.85,10072866.00,在售,商务公寓
5栋B座2408,82.20,107715.30,58.16,152238.62,8854198.00,在售,商务公寓
5栋B座2407,82.20,107480.00,58.16,151906.05,8834856.00,在售,商务公寓
5栋B座2406,96.35,101244.70,68.17,143097.07,9754927.00,在售,商务公寓
5栋B座2405,72.83,113842.36,51.53,160899.26,8291139.00,在售,商务公寓
5栋B座2404,99.03,117715.30,70.06,166390.89,11657346.00,在售,商务公寓
5栋B座2403,82.20,118480.00,58.16,167452.82,9739056.00,在售,商务公寓
5栋B座2402,82.20,118185.89,58.16,167037.14,9714880.00,在售,商务公寓
5栋B座2401,96.35,113891.77,68.17,160972.16,10973472.00,在售,商务公寓
5栋B座2310,72.83,110397.65,51.53,156030.68,8040261.00,在售,商务公寓
5栋B座2309,99.03,101597.65,70.06,143608.55,10061215.00,在售,商务公寓
5栋B座2308,82.20,107597.65,58.16,152072.33,8844527.00,在售,商务公寓
5栋B座2307,82.20,107362.36,58.16,151739.79,8825186.00,在售,商务公寓
5栋B座2306,96.35,101127.06,68.17,142930.79,9743592.00,在售,商务公寓
5栋B座2305,72.83,113724.72,51.53,160732.99,8282571.00,在售,商务公寓
5栋B座2304,99.03,117362.35,70.06,165892.01,11622394.00,在售,商务公寓
5栋B座2303,82.20,118127.07,58.16,166954.01,9710045.00,在售,商务公寓
5栋B座2302,82.20,117832.94,58.16,166538.31,9685868.00,在售,商务公寓
5栋B座2301,96.35,113538.83,68.17,160473.32,10939466.00,在售,商务公寓
5栋B座2210,72.83,110280.01,51.53,155864.41,8031693.00,在售,商务公寓
5栋B座2209,99.03,101480.01,70.06,143442.26,10049565.00,在售,商务公寓
5栋B座2208,82.20,107480.00,58.16,151906.05,8834856.00,在售,商务公寓
5栋B座2207,82.20,107244.71,58.16,151573.50,8815515.00,在售,商务公寓
5栋B座2206,96.35,101009.40,68.17,142764.50,9732256.00,在售,商务公寓
5栋B座2205,72.83,113607.06,51.53,160566.70,8274002.00,在售,商务公寓
5栋B座2204,99.03,117009.41,70.06,165393.12,11587442.00,在售,商务公寓
5栋B座2203,82.20,117774.12,58.16,166455.18,9681033.00,在售,商务公寓
5栋B座2202,82.20,117480.00,58.16,166039.48,9656856.00,在售,商务公寓
5栋B座2201,96.35,113185.88,68.17,159974.48,10905460.00,在售,商务公寓
5栋B座2110,72.83,110162.36,51.53,155698.14,8023125.00,在售,商务公寓
5栋B座2109,99.03,101362.35,70.06,143275.96,10037914.00,在售,商务公寓
5栋B座2108,82.20,107362.36,58.16,151739.79,8825186.00,在售,商务公寓
5栋B座2107,82.20,107127.07,58.16,151407.24,8805845.00,在售,商务公寓
5栋B座2106,96.35,100891.76,68.17,142598.23,9720921.00,在售,商务公寓
5栋B座2105,72.83,113489.41,51.53,160400.43,8265434.00,在售,商务公寓
5栋B座2104,99.03,116656.48,70.06,164894.25,11552491.00,在售,商务公寓
5栋B座2103,82.20,117421.18,58.16,165956.34,9652021.00,在售,商务公寓
5栋B座2102,82.20,117127.07,58.16,165540.66,9627845.00,在售,商务公寓
5栋B座2101,96.35,112832.94,68.17,159475.63,10871454.00,在售,商务公寓
5栋B座2010,72.83,110044.71,51.53,155531.85,8014556.00,在售,商务公寓
5栋B座2009,99.03,101244.71,70.06,143109.68,10026264.00,在售,商务公寓
5栋B座2008,82.20,107244.71,58.16,151573.50,8815515.00,在售,商务公寓
5栋B座2007,82.20,107009.42,58.16,151240.96,8796174.00,在售,商务公寓
5栋B座2006,96.35,100774.12,68.17,142431.95,9709586.00,在售,商务公寓
5栋B座2005,72.83,113371.77,51.53,160234.15,8256866.00,在售,商务公寓
5栋B座2004,99.03,116303.53,70.06,164395.36,11517539.00,在售,商务公寓
5栋B座2003,82.20,117068.24,58.16,165457.51,9623009.00,在售,商务公寓
5栋B座2002,82.20,116774.12,58.16,165041.83,9598833.00,在售,商务公寓
5栋B座2001,96.35,112480.00,68.17,158976.79,10837448.00,在售,商务公寓
5栋B座1910,72.83,109927.06,51.53,155365.57,8005988.00,在售,商务公寓
5栋B座1909,99.03,101127.06,70.06,142943.38,10014613.00,在售,商务公寓
5栋B座1908,82.20,107127.07,58.16,151407.24,8805845.00,在售,商务公寓
5栋B座1907,82.20,106891.78,58.16,151074.69,8786504.00,在售,商务公寓
5栋B座1906,96.35,100656.47,68.17,142265.67,9698251.00,在售,商务公寓
5栋B座1905,72.83,113254.13,51.53,160067.88,8248298.00,在售,商务公寓
5栋B座1904,99.03,113597.65,70.06,160570.58,11249575.00,在售,商务公寓
5栋B座1903,82.20,114362.36,58.16,161633.18,9400586.00,在售,商务公寓
5栋B座1902,82.20,114068.24,58.16,161217.49,9376409.00,在售,商务公寓
5栋B座1901,96.35,109774.12,68.17,155152.35,10576736.00,在售,商务公寓
5栋B座1810,72.83,109809.42,51.53,155199.30,7997420.00,在售,商务公寓
