房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
2424,49.83,46752.07,34.69,67156.41,2329656.00,在售,商务公寓
2423,49.83,46752.07,34.69,67156.41,2329656.00,在售,商务公寓
2422,85.71,48938.86,59.67,70295.79,4194550.00,在售,商务公寓
2421,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2420,39.67,47880.94,27.61,68795.25,1899437.00,在售,商务公寓
2419,39.67,47403.95,27.61,68109.92,1880515.00,在售,商务公寓
2418,39.67,47254.32,27.61,67894.92,1874579.00,在售,商务公寓
2417,39.67,47254.32,27.61,67894.92,1874579.00,在售,商务公寓
2416,39.67,47403.95,27.61,68109.92,1880515.00,在售,商务公寓
2415,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2414,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2413,85.71,49767.13,59.67,71485.52,4265541.00,在售,商务公寓
2412,49.83,46843.12,34.69,67287.20,2334193.00,在售,商务公寓
2411,49.83,46843.12,34.69,67287.20,2334193.00,在售,商务公寓
2410,85.71,47851.47,59.67,68733.86,4101350.00,在售,商务公寓
2409,39.67,46749.13,27.62,67144.75,1854538.00,在售,商务公寓
2408,39.67,46903.05,27.61,67390.22,1860644.00,在售,商务公寓
2407,39.67,46672.14,27.61,67058.45,1851484.00,在售,商务公寓
2406,39.67,46624.42,27.62,66965.64,1849591.00,在售,商务公寓
2405,39.67,46518.17,27.61,66837.23,1845376.00,在售,商务公寓
2404,39.67,46658.05,27.62,67013.93,1850925.00,在售,商务公寓
2403,39.67,46778.39,27.61,67211.11,1855699.00,在售,商务公寓
2402,39.67,46763.22,27.62,67164.98,1855097.00,在售,商务公寓
2401,85.71,46340.18,59.67,66563.04,3971817.00,在售,商务公寓
2324,49.83,51088.62,34.69,73385.58,2545746.00,在售,商务公寓
2323,49.83,51088.62,34.69,73385.58,2545746.00,在售,商务公寓
2322,85.71,53275.40,59.67,76524.80,4566235.00,在售,商务公寓
2321,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2320,39.67,52217.49,27.61,75026.00,2071468.00,在售,商务公寓
2319,39.67,51740.48,27.61,74340.63,2052545.00,在售,商务公寓
2318,39.67,51590.84,27.61,74125.64,2046609.00,在售,商务公寓
2317,39.67,51590.84,27.61,74125.64,2046609.00,在售,商务公寓
2316,39.67,51740.48,27.61,74340.63,2052545.00,在售,商务公寓
2315,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2314,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2313,85.71,54103.67,59.67,77714.52,4637226.00,在售,商务公寓
2312,49.83,51179.67,34.69,73516.37,2550283.00,在售,商务公寓
2311,49.83,51179.67,34.69,73516.37,2550283.00,在售,商务公寓
2310,85.71,52188.01,59.67,74962.87,4473035.00,在售,商务公寓
2309,39.67,51085.65,27.62,73373.20,2026568.00,在售,商务公寓
2308,39.67,51239.60,27.61,73620.97,2032675.00,在售,商务公寓
2307,39.67,51008.67,27.61,73289.17,2023514.00,在售,商务公寓
2306,39.67,50961.00,27.62,73194.17,2021623.00,在售,商务公寓
2305,39.67,50854.75,27.61,73068.01,2017408.00,在售,商务公寓
2304,39.67,50994.60,27.62,73242.43,2022956.00,在售,商务公寓
2303,39.67,51114.92,27.61,73441.83,2027729.00,在售,商务公寓
2302,39.67,51099.74,27.62,73393.44,2027127.00,在售,商务公寓
2301,85.71,50676.72,59.67,72792.05,4343502.00,在售,商务公寓
2224,49.83,51088.62,34.69,73385.58,2545746.00,在售,商务公寓
2223,49.83,51088.62,34.69,73385.58,2545746.00,在售,商务公寓
2222,85.71,53275.40,59.67,76524.80,4566235.00,在售,商务公寓
2221,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2220,39.67,52217.49,27.61,75026.00,2071468.00,在售,商务公寓
2219,39.67,51740.48,27.61,74340.63,2052545.00,在售,商务公寓
2218,39.67,51590.84,27.61,74125.64,2046609.00,在售,商务公寓
2217,39.67,51590.84,27.61,74125.64,2046609.00,在售,商务公寓
2216,39.67,51740.48,27.61,74340.63,2052545.00,在售,商务公寓
2215,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2214,39.67,52294.45,27.61,75136.58,2074521.00,在售,商务公寓
2213,85.71,54103.67,59.67,77714.52,4637226.00,在售,商务公寓
2212,49.83,51179.67,34.69,73516.37,2550283.00,在售,商务公寓
2211,49.83,51179.67,34.69,73516.37,2550283.00,在售,商务公寓
2210,85.71,52188.01,59.67,74962.87,4473035.00,在售,商务公寓
2209,39.67,51085.65,27.62,73373.20,2026568.00,在售,商务公寓
2208,39.67,51239.60,27.61,73620.97,2032675.00,在售,商务公寓
2207,39.67,51008.67,27.61,73289.17,2023514.00,在售,商务公寓
2206,39.67,50961.00,27.62,73194.17,2021623.00,在售,商务公寓
2205,39.67,50854.75,27.61,73068.01,2017408.00,在售,商务公寓
2204,39.67,50994.60,27.62,73242.43,2022956.00,在售,商务公寓
2203,39.67,51114.92,27.61,73441.83,2027729.00,在售,商务公寓
2202,39.67,51099.74,27.62,73393.44,2027127.00,在售,商务公寓
2201,85.71,50676.72,59.67,72792.05,4343502.00,在售,商务公寓
2124,49.83,46752.07,34.69,67156.41,2329656.00,在售,商务公寓
2123,49.83,46752.07,34.69,67156.41,2329656.00,在售,商务公寓
2122,85.71,48938.86,59.67,70295.79,4194550.00,在售,商务公寓
2121,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2120,39.67,47880.94,27.61,68795.25,1899437.00,在售,商务公寓
2119,39.67,47403.95,27.61,68109.92,1880515.00,在售,商务公寓
2118,39.67,47254.32,27.61,67894.92,1874579.00,在售,商务公寓
2117,39.67,47254.32,27.61,67894.92,1874579.00,在售,商务公寓
2116,39.67,47403.95,27.61,68109.92,1880515.00,在售,商务公寓
2115,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2114,39.67,47957.92,27.61,68905.86,1902491.00,在售,商务公寓
2113,85.71,49767.13,59.67,71485.52,4265541.00,在售,商务公寓
2112,49.83,46843.12,34.69,67287.20,2334193.00,在售,商务公寓
2111,49.83,46843.12,34.69,67287.20,2334193.00,在售,商务公寓
2110,85.71,47851.47,59.67,68733.86,4101350.00,在售,商务公寓
2109,39.67,46749.13,27.62,67144.75,1854538.00,在售,商务公寓
2108,39.67,46903.05,27.61,67390.22,1860644.00,在售,商务公寓
2107,39.67,46672.14,27.61,67058.45,1851484.00,在售,商务公寓
2106,39.67,46624.42,27.62,66965.64,1849591.00,在售,商务公寓
2105,39.67,46518.17,27.61,66837.23,1845376.00,在售,商务公寓
2104,39.67,46658.05,27.62,67013.93,1850925.00,在售,商务公寓
2103,39.67,46778.39,27.61,67211.11,1855699.00,在售,商务公寓
2102,39.67,46763.22,27.62,67164.98,1855097.00,在售,商务公寓
2101,85.71,46340.18,59.67,66563.04,3971817.00,在售,商务公寓
