房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
506,163.93,32072.00,117.29,44825.33,5257562.96,在售,商业-写字楼
2410,111.91,32479.00,78.90,46067.48,3634724.89,在售,商业-写字楼
2409,113.20,35130.00,79.81,49827.28,3976716.00,在售,商业-写字楼
2408,286.13,35165.00,201.72,49879.84,10061761.45,在售,商业-写字楼
2407,197.35,34907.00,139.13,49514.09,6888896.45,在售,商业-写字楼
2406,167.30,36495.00,117.95,51764.42,6105613.50,在售,商业-写字楼
2405,134.84,35611.00,95.06,50513.22,4801787.24,在售,商业-写字楼
2404,109.05,32972.00,76.88,46768.94,3595596.60,在售,商业-写字楼
2403,111.26,33318.00,78.44,47258.55,3706960.68,在售,商业-写字楼
2402,142.30,33122.00,100.32,46982.26,4713260.60,在售,商业-写字楼
2401,134.54,32020.00,94.85,45418.77,4307970.80,在售,商业-写字楼
2210,111.91,31808.00,78.90,45115.75,3559633.28,在售,商业-写字楼
2209,113.20,34468.00,79.81,48888.32,3901777.60,在售,商业-写字楼
2208,286.13,34496.00,201.72,48930.89,9870340.48,在售,商业-写字楼
2207,197.35,34236.00,139.13,48562.31,6756474.60,在售,商业-写字楼
2206,167.30,35824.00,117.95,50812.67,5993355.20,在售,商业-写字楼
2205,134.84,34940.00,95.06,49561.43,4711309.60,在售,商业-写字楼
2204,109.05,32301.00,76.88,45817.17,3522424.05,在售,商业-写字楼
2203,111.26,32647.00,78.44,46306.79,3632305.22,在售,商业-写字楼
2202,142.30,32451.00,100.32,46030.47,4617777.30,在售,商业-写字楼
2201,134.54,31349.00,94.85,44466.99,4217694.46,在售,商业-写字楼
1810,111.91,30780.00,78.90,43657.66,3444589.80,在售,商业-写字楼
1607,193.34,32218.00,138.40,45007.42,6229028.12,在售,商业-写字楼
1606,164.33,33807.00,117.63,47228.63,5555504.31,在售,商业-写字楼
1604,107.73,30282.00,77.12,42301.34,3262279.86,在售,商业-写字楼
1410,110.69,28786.00,79.23,40216.10,3186322.34,在售,商业-写字楼
1408,281.63,32476.00,201.60,45368.13,9146215.88,在售,商业-写字楼
1407,193.34,32177.00,138.40,44950.15,6221101.18,在售,商业-写字楼
1301,134.81,28961.00,96.50,40458.36,3904232.41,在售,商业-写字楼
1201,134.81,28730.00,96.50,40135.66,3873091.30,在售,商业-写字楼
